,Brent Crude Oil,Heating Oil,Natural Gas,RBOB Gasoline
min,0.3208143813865903,0.33955305051404705,-0.2705684662624947,0.1829346565546121
max,0.9892924894998639,0.9604460991576598,0.6979584533942355,0.9575373640816003
