model,MAE,RMSE,R2,direction_accuracy
Naive last return,0.027354113809780565,0.03594025784443133,-1.1208307462721065,0.4526627218934911
Ridge,0.01885081157646332,0.02485335204684969,-0.014176579416940172,0.4911242603550296
