commodity,drawdown
Natural Gas,-0.8172063947650983
Heating Oil,-0.5090158383035984
Crude Oil,-0.43815815936713143
RBOB Gasoline,-0.4126794843931778
Brent Crude Oil,-0.41121302671050575
