commodity,start_date,end_date,observations,avg_close,avg_volume
Crude Oil,2000-08-23,2024-06-24,5984,64.47754345300363,303768.3399064171
Natural Gas,2000-08-30,2024-06-24,5980,4.468276086339983,102846.48160535117
Heating Oil,2000-09-01,2024-06-24,5977,1.9877191226189603,38459.30048519324
RBOB Gasoline,2000-11-01,2024-06-24,5938,1.9116662007795113,40308.69400471539
Brent Crude Oil,2007-07-30,2024-06-24,4196,78.71850092826966,17575.080076263108
