commodity,deepest_drawdown
Crude Oil,-1.2589992622135169
Natural Gas,-0.9036285623406435
RBOB Gasoline,-0.8846821658768342
Brent Crude Oil,-0.8676752486212199
Heating Oil,-0.8513394960994813
