,commodity,date,js_divergence
0,Brent Crude Oil,2014-08-11,0.24786057604493014
1,Natural Gas,2018-08-23,0.24705106456420248
2,Crude Oil,2009-03-20,0.24246654232163128
3,Heating Oil,2014-08-12,0.23481471010969635
4,RBOB Gasoline,2014-08-13,0.22734911419122308
